UserCountry3;EU_Years(2019);Population_2019;GDP;High_Tech_Employment;Gender_Pay_Gap;Life_Expectancy;Gini_2019;religiousness
AUT;24;858775;128;6.2;19.9;82.0;27.5;0.865
BEL;61;11455519;118;4.6;5.8;82.1;25.1;0.710
BGR;12;7000039;52;4.2;14.1;75.1;40.8;0.958
HRV;6;4076246;65;3.5;11.5;78.6;29.2;0.968
CYP;15;875899;91;0.8;10.1;82.3;31.1;0.989
CZE;15;10649800;92;11.5;19.1;79.3;24.0;0.236
DNK;46;5806082;129;4.6;14.0;81.5;27.5;0.882
EST;15;1324820;81;4.2;21.7;79.0;30.5;0.404
FIN;24;5517919;111;4.7;16.6;82.1;26.2;0.824
FRA;61;67290471;104;4.2;16.2;83.0;29.2;0.720
DEU;61;83019213;124;9.9;19.2;81.3;29.7;0.756
GRC;38;10724599;66;1.6;10.4;81.7;31.0;0.939
HUN;15;9772756;71;9.7;18.2;76.5;28.0;0.814
IRL;46;4904240;190;3.6;11.3;82.8;28.3;0.939
ITA;61;59816673;97;6.3;4.7;83.6;32.8;0.876
LVA;15;1919968;69;1.7;21.2;75.7;35.2;0.562
LTU;15;2794184;81;2.4;13.3;76.5;35.4;0.900
LUX;61;613894;262;0.8;1.3;82.7;32.3;0.732
MLT;15;493559;102;3.4;11.6;82.9;28.0;0.975
NLD;61;17282163;129;2.8;14.6;82.2;26.8;0.579
POL;15;37972812;71;5.8;6.5;78.0;28.5;0.944
PRT;33;10276617;78;3.3;10.9;81.9;31.9;0.956
ROU;12;19414458;66;6.5;3.3;75.6;34.8;0.999
SVK;15;5450421;70;10.9;18.4;77.8;22.8;0.857
SVN;15;2080908;87;10.3;7.9;81.6;23.9;0.820
ESP;33;46937060;91;4.0;9.4;84.0;33.0;0.810
SWE;24;10230185;120;4.2;11.8;83.2;27.6;0.730